Title,Developer(s),Publisher(s),Series,Platform(s),Genre(s),Mode(s),Release_datetime_obj,Designer(s),Engine,Arcade system,Programmer(s),Composer(s),Director(s),Producer(s),Artist(s),Writer(s)
Civilization IV,Firaxis Games,"['2K Games', 'Aspyr']",Civilization,"['Microsoft Windows', 'Mac OS X']","['Turn-based strategy', '4X']","['Single-player', 'multiplayer']",2005-10-25,Soren Johnson,Gamebryo,Arcade system Not Available,['Soren Johnson'],"['Jeffery L. Briggs', 'Christopher Tin']",Sid Meier,['Barry Caudill'],['Steve Ogden'],Writer(s) Not Available
Devil May Cry 3: Dante's Awakening,Capcom,['Capcom'],Devil May Cry,"['PlayStation 2', 'Microsoft Windows', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Action-adventure', 'hack and slash']","['Single-player', 'Cooperative gameplay']",2005-02-17,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Tetsuya Shibata,Hideaki Itsuno,['Tsuyoshi Tanaka'],['Daigo Ikeno'],['Bingo Morihashi']
God of War,Santa Monica Studio,Sony Computer Entertainment,God of War,PlayStation 2,"['Action-adventure', 'hack and slash']",Single-player,2005-03-22,['David Jaffe'],Engine Not Available,Arcade system Not Available,['Tim Moss'],"['Gerard Marino', 'Mike Reagan', 'Ron Fish', 'Winifred Phillips', 'Winnie Waldron', 'Cris Velasco']",David Jaffe,['Shannon Studstill'],"['Charlie Wen', 'Terry Smith', 'Steve ""Scat"" Caterson', 'Dave Matthews', 'Erik San Juan', 'Louis Lu']",['Marianne Krawczyk']
Guitar Hero,Harmonix,"['RedOctane', 'Harmonix']",Guitar Hero,PlayStation 2,"['Music', 'rhythm']","['Single-player', 'multiplayer']",2005-11-08,"['Harmonix', 'Ryan Lesser']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,['Greg LoPiccolo'],Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Psychonauts,Double Fine Productions,Majesco Sales,Psychonauts,"['Microsoft Windows', 'Xbox', 'PlayStation 2', 'OS X', 'Linux']",Platform,Single-player,2005-04-19,['Erik Robson'],Engine Not Available,Arcade system Not Available,['Brad Muir'],Peter McConnell,Tim Schafer,Producer(s) Not Available,"['Scott Campbell', 'Nathan Stapley']",['Erik Wolpaw']
Resident Evil 4,Capcom Production Studio 4,"['Nintendo', 'Ubisoft', 'Nintendo Australia']",Resident Evil,"['PlayStation 2', 'Microsoft Windows', 'Wii', 'iOS', 'Zeebo', 'PlayStation 3', 'Xbox 360', 'Android', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Oculus Quest 2']","['Survival horror', 'third-person shooter']",Single-player,2005-01-11,"['Hiroshi Shibata', 'Kouji Kakae', 'Shigenori Nishikawa']",Engine Not Available,Arcade system Not Available,['Kiyohiko Sakata'],['Misao Senbongi'],Shinji Mikami,Hiroyuki Kobayashi,Artist(s) Not Available,['Shinji Mikami']
Shadow of the Colossus,"['Japan Studio', 'Team Ico']",Sony Computer Entertainment,Series Not Available,PlayStation 2,"['Action-adventure', 'puzzle']",Single-player,2005-10-18,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Kow Otani,Fumito Ueda,Kenji Kaido,Artist(s) Not Available,"['Junichi Hosono', 'Masashi Kudo', 'Takashi Izutani']"
Tom Clancy's Splinter Cell: Chaos Theory,"['Ubisoft Montreal', 'Ubisoft Milan']",Ubisoft,Tom Clancy's Splinter Cell,"['Mobile', 'N-Gage', 'Microsoft Windows', 'PlayStation 2', 'Xbox', 'GameCube', 'Nintendo DS', 'Nintendo 3DS', 'PlayStation 3']",Stealth,"['Single-player', 'multiplayer']",2005-03-21,Designer(s) Not Available,Unreal Engine 2.5,Arcade system Not Available,Programmer(s) Not Available,"['Amon Tobin', 'Jesper Kyd']",Clint Hocking,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Company of Heroes,"['Relic Entertainment', 'Feral Interactive']","['THQ', 'Feral Interactive']",Series Not Available,"['Microsoft Windows', 'OS X', 'iPadOS']",Real-time strategy,"['Single-player', 'multiplayer']",2006-09-12,Josh Mosqueira Quinn Duffy Erin Daly Brian Wood,Essence Engine,Arcade system Not Available,['Drew Dunlop'],Jeremy Soule,Director(s) Not Available,['John Johnson'],['Angie Radwan-Pytlewski'],"['Duane Pye', 'Paris Qualles']"
The Elder Scrolls IV: Oblivion,Bethesda Game Studios,"['Bethesda Softworks', '2K Games']",The Elder Scrolls,"['Microsoft Windows', 'Xbox 360', 'PlayStation 3']",Action role-playing,Single-player,2006-03-20,Ken Rolston,Gamebryo,Arcade system Not Available,"['Guy Carver', 'Craig Walton']",Jeremy Soule,Director(s) Not Available,['Ashley Cheng'],['Matthew Carofano'],Writer(s) Not Available
Gears of War,Epic Games,Microsoft Game Studios,Gears of War,"['Xbox 360', 'Microsoft Windows']",Third-person shooter,"['Single-player', 'multiplayer']",2006-11-07,Cliff Bleszinski,Unreal Engine 3,Arcade system Not Available,['Ray Davis'],Kevin Riepl,Director(s) Not Available,Rod Fergusson,['Chris Perna'],['Eric Nylund']
Hitman: Blood Money,IO Interactive,Eidos Interactive,Hitman,"['Microsoft Windows', 'PlayStation 2', 'Xbox', 'Xbox 360', 'PlayStation 3']",Stealth,Single-player,2006-05-26,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Jesper Kyd,['Rasmus Højengaard'],['Helle Marijnissen'],['Tore Blystad'],['Greg Nagan']
Ōkami,Clover Studio,Capcom,Series Not Available,"['PlayStation 2', 'Wii', 'PlayStation 3', 'Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",Action-adventure,Single-player,2006-04-20,['Hiroshi Shibata'],Engine Not Available,Arcade system Not Available,['Ryuta Takahashi'],['Akari Kaida'],Hideki Kamiya,Atsushi Inaba,"['Sawaki Takeyasu', 'Ikumi Nakamura']",['Hideki Kamiya']
Wii Sports,Nintendo EAD,Nintendo,Wii,Wii,Sports,"['Single-player', 'multiplayer']",2006-11-19,['Junji Morii'],Engine Not Available,Arcade system Not Available,['Tsutomu Kaneshige'],Kazumi Totaka,"['Keizo Ohta', 'Takayuki Shimamura', 'Yoshikazu Yamashita']",['Katsuya Eguchi'],Artist(s) Not Available,Writer(s) Not Available
BioShock,"['2K Boston', '2K Australia']",2K Games,BioShock,"['Microsoft Windows', 'Xbox 360', 'Xbox One', 'PlayStation 3', 'PlayStation 4', 'Mac OS X', 'iOS', 'Nintendo Switch']",First-person shooter,Single-player,2007-08-21,['Paul Hellquist'],Unreal Engine 2.5,Arcade system Not Available,"['Rowan Wyborn', 'Christopher Kline']",Garry Schyman,Ken Levine,Producer(s) Not Available,['Scott Sinclair'],['Ken Levine']
Call of Duty 4: Modern Warfare,Infinity Ward,Activision,Call of Duty,"['Microsoft Windows', 'PlayStation 3', 'Xbox 360', 'Mac OS X', 'Wii']",First-person shooter,"['Single-player', 'multiplayer']",2007-11-05,"['Todd Alderman', 'Steve Fukuda', 'Mackey McCandlish', 'Zied Rieke']",IW 3.0,Arcade system Not Available,"['Richard Baker', 'Robert Field', 'Francesco Gigliotti', 'Earl Hammon, Jr']",Stephen Barton,Jason West,['Mark Rubin'],"['Richard Kriegler', 'Chris Cherubini', 'Joel Emslie', 'Robert Gaines']",['Jesse Stern']
God of War II,Santa Monica Studio,Sony Computer Entertainment,God of War,PlayStation 2,"['Action-adventure', 'hack and slash']",Single-player,2007-03-13,['Cory Barlog'],Engine Not Available,Arcade system Not Available,['Tim Moss'],"['Gerard Marino', 'Ron Fish', 'Mike Reagan', 'Cris Velasco']","['Cory Barlog', 'David Jaffe']",['Steve Caterson'],Stig Asmussen,['Marianne Krawczyk']
Halo 3,Bungie,Microsoft Game Studios,Halo,"['Xbox 360', 'Xbox One', 'Microsoft Windows', 'Xbox Series X/S']",First-person shooter,"['Single-player', 'Multiplayer']",2007-09-25,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"[""Martin O'Donnell"", 'Michael Salvatori']",Director(s) Not Available,Producer(s) Not Available,['Marcus Lehto'],Joseph Staten
Mass Effect,BioWare,"['Microsoft Game Studios', 'Electronic Arts']",Mass Effect,"['Xbox 360', 'Microsoft Windows', 'PlayStation 3']",Action role-playing,Single-player,2007-11-20,['Preston Watamaniuk'],Unreal Engine 3,Arcade system Not Available,['David Falkner'],"['Jack Wall', 'Richard Jacques']",Casey Hudson,Producer(s) Not Available,['Derek Watts'],Drew Karpyshyn
Portal,Valve,['Valve'],Portal,"['Windows', 'PlayStation 3', 'Xbox 360', 'Mac OS X', 'Linux', 'Android']",Puzzle-platform,Single-player,2007-10-10,Kim Swift,Source,Arcade system Not Available,Programmer(s) Not Available,"['Kelly Bailey', 'Mike Morasky']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,"['Erik Wolpaw', 'Chet Faliszek']"
Rock Band,"['Harmonix', 'Pi Studios']",MTV Games,Rock Band,"['Xbox 360', 'PlayStation 3', 'PlayStation 2', 'Wii']",Rhythm game,"['Single player', 'multiplayer']",2007-11-20,"['Greg LoPiccolo', 'Rob Kay', 'Dan Teasdale']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Super Mario Galaxy,Nintendo EAD Tokyo,Nintendo,Super Mario,"['Wii', 'Shield Tablet']","['Platform', 'action-adventure']","['Single-player', 'multiplayer']",2007-11-01,"['Yoshiaki Koizumi', 'Shigeru Miyamoto (concept)']",Engine Not Available,Arcade system Not Available,"['Naoki Koga', 'Takeshi Hayakawa']","['Mahito Yokota', 'Koji Kondo']",Yoshiaki Koizumi,['Shigeru Miyamoto'],['Kenta Motokura'],['Takayuki Ikkaku']
Team Fortress 2,Valve,['Valve'],Series Not Available,"['Windows', 'Xbox 360', 'PlayStation 3', 'Mac OS X', 'Linux']",First-person shooter,"['Single-player', 'multiplayer']",2007-10-10,['Robin Walker'],Source,Arcade system Not Available,Programmer(s) Not Available,Mike Morasky,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Braid,Number None,['Microsoft Game Studios'],Series Not Available,"['Xbox 360', 'Microsoft Windows', 'Mac OS X', 'Linux', 'PlayStation 3', 'PlayStation 4', 'PlayStation 5', 'Nintendo Switch', 'Xbox One', 'Xbox Series X/S']",Puzzle-platform,Single-player,2008-08-06,Jonathan Blow,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Jami Sieber', 'Shira Kammen', 'Cheryl Ann Fulton']",Director(s) Not Available,Producer(s) Not Available,David Hellman,Writer(s) Not Available
Burnout Paradise,Criterion Games,Electronic Arts,Burnout,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",Racing,"['Single-player', 'multiplayer']",2008-01-22,['Craig Sullivan'],RenderWare,Arcade system Not Available,"['Olly Read', 'Paul Ross']",Composer(s) Not Available,['Alex Ward'],"['Peter Lake', 'San Shepherd', 'Matt Webster', 'Hamish Young']",['Steve Uphill'],Writer(s) Not Available
Dead Space,EA Redwood Shores,Electronic Arts,Dead Space,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows']",Survival horror,Single-player,2008-10-13,['Paul Mathus'],Engine Not Available,Arcade system Not Available,['Steve Timson'],Jason Graves,['Michael Condrey'],['Glen Schofield'],['Ian Milham'],"['Warren Ellis', 'Rick Remender', 'Antony Johnston']"
Fallout 3,Bethesda Game Studios,Bethesda Softworks,Fallout,"['Microsoft Windows', 'PlayStation 3', 'Xbox 360']",Action role-playing,Single-player,2008-10-28,Emil Pagliarulo,Gamebryo,Arcade system Not Available,"['Guy Carver', 'Steve Meister']",Inon Zur,Todd Howard,"['Ashley Cheng', 'Gavin Carter']",Istvan Pely,['Emil Pagliarulo']
Gears of War 2,Epic Games,Microsoft Game Studios,Gears of War,Xbox 360,Third-person shooter,"['Single-player', 'multiplayer']",2008-11-07,Cliff Bleszinski,Unreal Engine 3,Arcade system Not Available,['Ray Davis'],Steve Jablonsky,Director(s) Not Available,Rod Fergusson,Chris Perna,Joshua Ortega
Grand Theft Auto IV,Rockstar North,Rockstar Games,Grand Theft Auto,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows']",Action-adventure,"['Single-player', 'multiplayer']",2008-04-29,Designer(s) Not Available,RAGE,Arcade system Not Available,"['Adam Fowler', 'Alexander Roger', 'Obbe Vermeij']",Michael Hunter,Director(s) Not Available,Leslie Benzies,['Aaron Garbut'],['Dan Houser']
Left 4 Dead,Valve South,Valve,Left 4 Dead,"['Microsoft Windows', 'Xbox 360', 'Mac OS X']","['First-person shooter', 'survival horror']","['Single-player', 'multiplayer']",2008-11-17,['Mike Booth'],Source,Arcade system Not Available,Programmer(s) Not Available,Mike Morasky,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Chet Faliszek
LittleBigPlanet,Media Molecule,Sony Computer Entertainment,LittleBigPlanet,PlayStation 3,"['Puzzle-platform', 'sandbox']","['Single-player', 'multiplayer']",2008-10-27,['Mark Healey'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Kenneth C M Young', 'Daniel Pemberton']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Persona 4,Atlus,"['Atlus USA', 'Square Enix', 'NIS America', 'Sega']",Megami Tensei (main) Persona (sub-series),"['PlayStation 2', 'PlayStation Vita', 'Microsoft Windows']","['Role-playing', 'social simulation']",Single-player,2008-07-10,"['Atsushi Watanabe', 'Azusa Kido']",Engine Not Available,Arcade system Not Available,['Yujiro Kosaka'],Shoji Meguro,Katsura Hashino,['Katsura Hashino'],['Shigenori Soejima'],"['Yuichiro Tanaka', 'Akira Kawasaki', 'Katsura Hashino']"
Rock Band 2,"['Harmonix', 'Pi Studios']",MTV Games,Rock Band,"['Xbox 360', 'PlayStation 3', 'PlayStation 2', 'Wii']",Rhythm game,"['Single-player', 'multiplayer']",2008-09-14,"['Dan Teasdale', 'Sylvain Dubrofsky', 'Casey Malone']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Spelunky,"['Mossmouth', 'LLC']",['Microsoft Studios'],Series Not Available,"['Windows', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Chrome OS', 'Switch']","['Platform', 'roguelike']","['Single-player', 'multiplayer']",2008-12-21,Derek Yu,GameMaker Studio,Arcade system Not Available,['Andy Hull'],"['Buzinkai', 'Jonathan Perry', 'Eirik Suhrke']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Street Fighter IV,"['Dimps', 'Capcom']",['Capcom'],Street Fighter,"['Arcade', 'PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'iOS', 'Android', 'PlayStation 4', 'Xbox One']",Fighting,"['Single-player', 'competitive multiplayer']",2008-07-18,['Hirotoshi Shiozaki'],Engine Not Available,"['Taito Type X', 'Taito Type X']",['Ryosuke Nakano'],Hideyuki Fukasawa,['Takashi Tsukamoto'],Yoshinori Ono,['Daigo Ikeno'],Writer(s) Not Available
Valkyria Chronicles,"['Sega', 'Media.Vision']",['Sega'],Valkyria Chronicles,"['PlayStation 3', 'PlayStation 4', 'Microsoft Windows', 'Nintendo Switch']",['Tactical role-playing'],Single-player,2008-04-24,['Takeshi Ozawa'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Hitoshi Sakimoto,"['Shuntaro Tanaka', 'Takaharu Terada']",['Ryutaro Nonaka'],"['Raita Honjou', 'Hirotaka Kanazawa']",Writer(s) Not Available
Angry Birds Classic,Rovio Entertainment,"['Chillingo', 'Rovio Entertainment']",Angry Birds,"['iOS', 'Maemo', 'MeeGo', 'HP webOS', 'Android', 'Symbian^3', 'Series 40', 'Nintendo 3DS', 'PlayStation Store', 'PSP', 'PS3', 'PSVita', 'Xbox 360', 'Windows', 'WebGL', 'Windows Phone', 'Google Plus', 'Google Chrome', 'Chrome Web Store', 'BlackBerry Tablet OS', 'Bada', 'Facebook', 'Flash', 'Mac OS X', 'Roku', 'Samsung Smart TV', 'Wii', 'Wii U', 'HTML5', 'BlackBerry 10']","['Puzzle', 'casual', 'strategy shooter']",Single-player,2009-12-11,['Jaakko Iisalo'],"['SDL', 'Box2D']",Arcade system Not Available,['Tuomo Lehtinen'],Ari Pulkkinen,Director(s) Not Available,"['Raine Mäki', 'Harro Grönberg', 'Mikko Häkkinen']",['Tuomas Erikoinen'],Writer(s) Not Available
Assassin's Creed II,Ubisoft Montréal,Ubisoft,Assassin's Creed,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'Mac OS X', 'PlayStation 4', 'Xbox One']","['Action-adventure', 'stealth']",Single-player,2009-11-17,"['Benoît Lambert', 'Patrick Plourde', 'Olivier Palmieri']",Anvil,Arcade system Not Available,['James Therien'],Jesper Kyd,Patrice Désilets,"['Sébastien Puel', 'Jamal Rguigui', 'Vincent Pontbriand']",['Mohamed Gambouz'],"['Corey May', 'Jeffrey Yohalem']"
Batman: Arkham Asylum,Rocksteady Studios,"['Eidos Interactive', 'Warner Bros. Interactive Entertainment']",Batman: Arkham,"['PlayStation 3', 'Xbox 360', 'Windows', 'Mac OS X', 'PlayStation 4', 'Xbox One']",Action-adventure,Single-player,2009-08-25,Designer(s) Not Available,Unreal Engine 3,Arcade system Not Available,['Ben Wyatt'],['Ron Fish'],Sefton Hill,"['Daniel Bailie', 'Nathan Burlow']",['David Hego'],Paul Dini
Bayonetta,PlatinumGames,"['Sega', 'Nintendo']",Bayonetta,"['PlayStation 3', 'Xbox 360']","['Third-person shooter', 'hack and slash']",Single-player,2009-10-29,"['Hiroshi Shibata', 'Masaaki Yamada']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Norihiko Hibino', 'Takahiro Izutani']",Hideki Kamiya,['Yusuke Hashimoto'],['Mari Shimazaki'],['Hideki Kamiya']
Dragon Age: Origins,BioWare,Electronic Arts,Dragon Age,"['Microsoft Windows', 'Xbox 360', 'PlayStation 3', 'Mac OS X']",Role-playing,Single-player,2009-11-03,"['Brent Knowles', 'Mike Laidlaw', 'James Ohlen']",Eclipse Engine,Arcade system Not Available,['Ross Gardner'],Inon Zur,"['Dan Tudge', 'Mark Darrah']","['Derek French', 'Vanessa Kade', 'Kevin Loh', 'Kyle Scott']",['Dean Andersen'],David Gaider
Left 4 Dead 2,Valve,['Valve'],Left 4 Dead,"['Microsoft Windows', 'Xbox 360', 'Mac OS X', 'Linux']","['First-person shooter', 'survival horror']","['Single-player', 'multiplayer']",2009-11-17,['Michael Booth'],Source,Arcade system Not Available,Programmer(s) Not Available,Mike Morasky,['Erik Johnson'],['Gabe Newell'],Artist(s) Not Available,Chet Faliszek
Uncharted 2: Among Thieves,Naughty Dog,Sony Computer Entertainment,Uncharted,PlayStation 3,"['Action-adventure', 'third-person shooter']","['Single-player', 'multiplayer']",2009-10-13,['Neil Druckmann'],Engine Not Available,Arcade system Not Available,"['Pål-Kristian Engstad', 'Travis McIntosh', 'Dan Liebgold']",Greg Edmonson,"['Bruce Straley', 'Amy Hennig']",Producer(s) Not Available,['Robh Ruppel'],['Josh Scherr']
Limbo,Playdead,['Microsoft Game Studios'],Series Not Available,"['Xbox 360', 'PlayStation 3', 'Windows', 'OS X', 'Linux', 'Xbox One', 'PlayStation 4', 'PlayStation Vita', 'Nintendo Switch', 'iOS', 'Android']","['Puzzle', 'platform']",Single-player,2010-07-21,['Jeppe Carlsen'],['Box2D'],Arcade system Not Available,['Thomas Krog'],Martin Stig Andersen,['Arnt Jensen'],"['Dino Christian Patti', 'Mads Wibroe']","['Morten Christian Bramsen', 'Stine Sørensen']",Writer(s) Not Available
Mass Effect 2,BioWare,Electronic Arts,Mass Effect,"['Microsoft Windows', 'Xbox 360', 'PlayStation 3']","['Action role-playing', 'third-person shooter']",Single-player,2010-01-26,['Preston Watamaniuk'],Unreal Engine 3,Arcade system Not Available,['David Falkner'],"['Jack Wall', 'Jimmy Hinson']",Casey Hudson,"['Jesse Houston', 'Nathan Plewes']",['Derek Watts'],['Drew Karpyshyn']
Red Dead Redemption,Rockstar San Diego,Rockstar Games,Red Dead,"['PlayStation 3', 'Xbox 360']",Action-adventure,"['Single-player', 'multiplayer']",2010-05-18,"['Christian Cantamessa', 'Leslie Benzies']",RAGE,Arcade system Not Available,['Ted Carson'],['Woody Jackson'],Director(s) Not Available,"['Steve Martin', 'Josh Needleman', 'David Kunkler']","['Joshua Bass', 'Daren Bader', 'Nick Trifunovic']",['Dan Houser']
Rock Band 3,Harmonix,"['MTV Games', 'Mad Catz']",Rock Band,"['Xbox 360', 'PlayStation 3', 'Wii', 'Nintendo DS']",Music video game,"['Single-player', 'multiplayer']",2010-10-26,"['Dan Teasdale', 'Sylvain Dubrofsky', 'Brian Chan', 'Casey Malone']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
StarCraft II: Wings of Liberty,Blizzard Entertainment,['Blizzard Entertainment'],StarCraft,"['Microsoft Windows', 'macOS']",Real-time strategy,"['Single-player', 'multiplayer']",2010-07-27,Dustin Browder,['In-house'],Arcade system Not Available,"['Carl Chimes', 'Bob Fitch']","['Russell Brower', 'Neal Acree']",Director(s) Not Available,['Chris Sigaty'],Samwise Didier,Chris Metzen Andrew Chambers Brian Kindregan
Super Mario Galaxy 2,Nintendo EAD Tokyo,Nintendo,Super Mario,Wii,Platform,"['Single-player', 'multiplayer']",2010-05-23,['Kenta Motokura'],Engine Not Available,Arcade system Not Available,['Takeshi Hayakawa'],"['Mahito Yokota', 'Koji Kondo']",['Koichi Hayashida'],"['Yoshiaki Koizumi', 'Takashi Tezuka']",['Daisuke Watanabe'],Writer(s) Not Available
Super Meat Boy,['Team Meat'],['Team Meat'],Series Not Available,"['Xbox 360', 'Microsoft Windows', 'OS X', 'Linux', 'PlayStation 4', 'PlayStation Vita', 'Wii U', 'Nintendo Switch']",Platform,Single-player,2010-10-20,"['Edmund McMillen', 'Tommy Refenes']",Engine Not Available,Arcade system Not Available,['Tommy Refenes'],Danny Baranowsky,Director(s) Not Available,['Kevin Hathaway'],['Edmund McMillen'],Writer(s) Not Available
Batman: Arkham City,Rocksteady Studios,Warner Bros. Interactive Entertainment,Batman: Arkham,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'Wii U', 'OS X', 'PlayStation 4', 'Xbox One']",Action-adventure,Single-player,2011-10-18,Designer(s) Not Available,Unreal Engine 3,Arcade system Not Available,['Ben Wyatt'],Nick Arundel Ron Fish,Sefton Hill,"['Daniel Bailie', 'Nathan Burlow']",['David Hego'],['Paul Dini']
Dark Souls,FromSoftware,['FromSoftware'],Souls,"['PlayStation 3', 'Xbox 360', 'Microsoft Windows', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",Action role-playing,"['Single-player', 'multiplayer']",2011-09-22,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Jun Ito'],Motoi Sakuraba,Hidetaka Miyazaki,"['Hidetaka Miyazaki', 'Daisuke Uchiyama', 'Kei Hirono']",['Makoto Sato'],Writer(s) Not Available
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,The Elder Scrolls,"['Microsoft Windows', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",Action role-playing,Single-player,2011-11-11,"['Bruce Nesmith', 'Emil Pagliarulo']",Creation Engine,Arcade system Not Available,['Guy Carver'],Jeremy Soule,Todd Howard,"['Ashley Cheng', 'Craig Lafferty']",['Matthew Carofano'],['Emil Pagliarulo']
Minecraft,Mojang Studios,['Microsoft Studios'],Minecraft,"['Android', 'iOS', 'Xbox 360', 'Raspberry Pi', 'Windows Phone', 'PlayStation 3', 'Fire OS', 'PlayStation 4', 'Xbox One', 'PlayStation Vita', 'Universal Windows Platform', 'Wii U', 'tvOS', 'Nintendo Switch', 'New Nintendo 3DS']","['Sandbox', 'survival']","['Single-player', 'multiplayer']",2011-11-18,"['Markus Persson', 'Jens Bergensten']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,C418,Director(s) Not Available,Producer(s) Not Available,"['Markus Toivonen', 'Jasper Boerstra']",Writer(s) Not Available
Portal 2,Valve,['Valve'],Portal,"['Windows', 'Mac OS X', 'Linux', 'PlayStation 3', 'Xbox 360']",Puzzle-platform,"['Single-player', 'multiplayer']",2011-04-18,Designer(s) Not Available,Source,Arcade system Not Available,Programmer(s) Not Available,Mike Morasky,['Joshua Weier'],Gabe Newell,"['Jeremy Bennett', 'Randy Lundeen']","['Erik Wolpaw', 'Jay Pinkerton', 'Chet Faliszek']"
Dishonored,Arkane Studios,Bethesda Softworks,Dishonored,"['Microsoft Windows', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One']","['Action-adventure', 'stealth']",Single-player,2012-10-09,Designer(s) Not Available,Unreal Engine 3,Arcade system Not Available,"['Hugues Tardif', 'Stevan Hird']",Daniel Licht,"['Raphaël Colantonio', 'Harvey Smith']",Producer(s) Not Available,['Sébastien Mitton'],"['Austin Grossman', 'Terri Brosius']"
Journey,"['Thatgamecompany', 'Santa Monica Studio']","['Sony Computer Entertainment', 'Annapurna Interactive']",Series Not Available,"['PlayStation 3', 'PlayStation 4', 'Microsoft Windows', 'iOS']","['Adventure', 'art game']","['Single-player', 'multiplayer']",2012-03-13,"['Nicholas Clark', 'Bryan Singh', 'Chris Bell']",PhyreEngine,Arcade system Not Available,"['John Edwards', 'Martin Middleton']",Austin Wintory,Jenova Chen,Robin Hunicke,"['Matt Nava', 'Aaron Jessie']",Writer(s) Not Available
Hotline Miami,Dennaton Games,Devolver Digital,Series Not Available,"['Microsoft Windows', 'OS X', 'Linux', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Android', 'Nintendo Switch', 'Xbox One', 'Stadia']",Top-down shooter,Single-player,2012-10-23,['Jonatan Söderström'],"['Game Maker 7', 'PhyreEngine']",Arcade system Not Available,['Jonatan Söderström'],Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,['Dennis Wedin'],"['Jonatan Söderström', 'Dennis Wedin']"
The Walking Dead,Telltale Games,['Telltale Games'],The Walking Dead,"['Android', 'iOS', 'Kindle Fire HDX', 'OS X', 'Linux', 'Microsoft Windows', 'Nintendo Switch', 'Ouya', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Xbox 360', 'Xbox One']","['Graphic adventure', 'Interactive drama']",Single-player,2012-04-24,Sean Vanaman Jake Rodkin Mark Darin Harrison G. Pink Andrew Langley Sean Ainsworth,Telltale Tool,Arcade system Not Available,"['Carl Muckenhoupt', 'Randy Tudor', 'Keenan Patterson']",Jared Emerson-Johnson,"['Sean Vanaman', 'Jake Rodkin']",Producer(s) Not Available,['Derek Sakai'],Sean Vanaman Mark Darin Gary Whitta
Dota 2,Valve,['Valve'],Dota,"['Microsoft Windows', 'Linux', 'OS X']",MOBA,Multiplayer,2013-07-09,IceFrog,Source 2,Arcade system Not Available,Programmer(s) Not Available,['Tim Larkin'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,"['Marc Laidlaw', 'Ted Kosmatka']"
